Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
The Vault of Horror (Version 2),1973,Roy Ward Baker,Storbritannien,Skräck/Antologi,87 min,"Terry-Thomas, Tom Baker",Milton Subotsky,Douglas Gamley,-,[Recension](https://www.google.com/search?q=Vault+of+Horror+1973+review),Europa\England,,,
The Woman in Black,1989,Herbert Wise,Storbritannien,Skräck/Mysterium,102 min,"Adrian Rawlins, Bernard Hepton",Chris Burt,Rachel Portman,-,[Recension](https://www.google.com/search?q=Woman+in+Black+1989+review),Europa\England,,,
Trilogy of Terror,1975,Dan Curtis,USA/Storbritannien,Skräck/Antologi,72 min,Karen Black,Dan Curtis,Bob Cobert,-,[Recension](https://www.google.com/search?q=Trilogy+of+Terror+1975+review),Europa\England,,,
Twice-Told Tales,1963,Sidney Salkow,USA,Skräck/Antologi,120 min,Vincent Price,Robert E. Kent,Ronald Stein,-,[Recension](https://www.google.com/search?q=Twice+Told+Tales+1963+review),Europa\England,,,
When Dinosaurs Ruled the Earth,1970,Val Guest,Storbritannien,Äventyr/Sci-Fi,100 min,Victoria Vetri,Aida Young,Mario Nascimbene,Jim Danforth,[Recension](https://www.google.com/search?q=When+Dinosaurs+Ruled+the+Earth+review),Europa\England,,,
Where Time Began,1977,Juan Piquer Simón,Spanien,Äventyr/Sci-Fi,90 min,Kenneth More,Juan Piquer Simón,Juan Carlos Calderón,-,[Recension](https://www.google.com/search?q=Where+Time+Began+1977+review),Europa\England,,,
Benedetta,2021,Paul Verhoeven,Frankrike/Holland,Drama/Historia,131 min,Virginie Efira,Saïd Ben Saïd,Anne Dudley,-,[Recension](https://www.google.com/search?q=Benedetta+2021+movie+review),Europa\Frankrike,,,
Calvaire,2004,Fabrice Du Welz,Belgien/Frankrike,Skräck/Thriller,94 min,Laurent Lucas,Eddy Géradon,Vincent Cahay,-,[Recension](https://www.google.com/search?q=Calvaire+2004+movie+review),Europa\Frankrike,,,
Camouflage,1977,Krzysztof Zanussi,Polen,Drama/Komedi,106 min,Piotr Garlicki,-,Wojciech Kilar,-,[Recension](https://www.google.com/search?q=Camouflage+1977+movie+review),Europa\Frankrike,,,
Diva,1981,Jean-Jacques Beineix,Frankrike,Thriller/Drama,117 min,Frédéric Andréi,Irene Silberman,Vladimir Cosma,-,[Recension](https://www.google.com/search?q=Diva+1981+movie+review),Europa\Frankrike,,,
Dracula: A Love Tale,2025,Luc Besson,Frankrike,Skräck/Drama,-,Caleb Landry Jones,Luc Besson,-,-,[Recension](https://www.google.com/search?q=Dracula+A+Love+Tale+Luc+Besson+review),Europa\Frankrike,,,
Faceless,1987,Jesús Franco,Frankrike/Spanien,Skräck/Thriller,98 min,Helmut Berger,René Chateau,Romano Musumarra,-,[Recension](https://www.google.com/search?q=Faceless+1987+movie+review),Europa\Frankrike,,,
Frontier(s),2007,Xavier Gens,Frankrike/Schweiz,Skräck/Thriller,108 min,Karina Testa,Stéphane Sperry,Jean-Pierre Taïeb,-,[Recension](https://www.google.com/search?q=Frontiers+2007+movie+review),Europa\Frankrike,,,
High Tension,2003,Alexandre Aja,Frankrike,Skräck/Slasher,91 min,Cécile de France,Alexandre Arcady,François-Eudes Chanfrault,Giannetto De Rossi,[Recension](https://www.google.com/search?q=High+Tension+2003+movie+review),Europa\Frankrike,,,
Infested,2023,Sébastien Vaniček,Frankrike,Skräck/Action,106 min,Théo Christine,Said Hamich,Douglas Cavanna,-,[Recension](https://www.google.com/search?q=Infested+2023+movie+review),Europa\Frankrike,,,
Irreversible,2002,Gaspar Noé,Frankrike,Thriller/Drama,97 min,Monica Bellucci,Christophe Rossignon,Thomas Bangalter,-,[Recension](https://www.google.com/search?q=Irreversible+2002+movie+review),Europa\Frankrike,,,
Death Watch (La Mort en direct),1980,Bertrand Tavernier,Frankrike/Västtyskland,Sci-Fi/Drama,130 min,"Romy Schneider, Harvey Keitel",Gabriel Boustani,Antoine Duhamel,-,[Recension](https://www.google.com/search?q=Death+Watch+1980+movie+review),Europa\Frankrike,,,
The Track (La Traque),1975,Serge Leroy,Frankrike,Thriller/Drama,101 min,Jean-Luc Bideau,-,Michel Colombier,-,[Recension](https://www.google.com/search?q=The+Track+1975+movie+review),Europa\Frankrike,,,
MadS,2024,David Moreau,Frankrike,Skräck,86 min,Milton Riche,-,-,-,[Recension](https://www.google.com/search?q=MadS+2024+movie+review),Europa\Frankrike,,,
Man Bites Dog,1992,Rémy Belvaux m.fl.,Belgien,Thriller/Krim,95 min,Benoît Poelvoorde,Rémy Belvaux,-,-,[Recension](https://www.google.com/search?q=Man+Bites+Dog+1992+review),Europa\Frankrike,,,
Martyrs,2008,Pascal Laugier,Frankrike/Kanada,Skräck,99 min,Mylène Jampanoï,Richard Grandpierre,Seppuku Paradigm,-,[Recension](https://www.google.com/search?q=Martyrs+2008+movie+review),Europa\Frankrike,,,
Reflection in a Dead Diamond,2025,(Oberoende/Kortfilm),Frankrike,Thriller,-,-,-,-,-,[Recension](https://www.google.com/search?q=Reflection+in+a+Dead+Diamond+movie),Europa\Frankrike,,,
The Masters of Time,1982,René Laloux,Frankrike/Ungern,Animation/Sci-Fi,78 min,Jean Valmont (Röst),Miklos Salusinszky,Jean-Pierre Bourtayre,-,[Recension](https://www.google.com/search?q=The+Masters+of+Time+1982+review),Europa\Frankrike,,,
The Shiver of the Vampires,1971,Jean Rollin,Frankrike,Skräck,95 min,Sandra Julien,Jean Rollin,Acanthus,-,[Recension](https://www.google.com/search?q=Shiver+of+the+Vampires+review),Europa\Frankrike,,,
The Skull,1965,Freddie Francis,Storbritannien,Skräck,83 min,Peter Cushing,Milton Subotsky,James Bernard,-,[Recension](https://www.google.com/search?q=The+Skull+1965+movie+review),Europa\Frankrike,,,
The Strange Color of Your Body's Tears,2013,Hélène Cattet & Bruno Forzani,Belgien/Frankrike,Mysterium/Thriller,102 min,Klaus Tange,Eve Commenge,-,-,[Recension](https://www.google.com/search?q=Strange+Color+of+Your+Bodys+Tears+review),Europa\Frankrike,,,
The Tenant,1976,Roman Polanski,Frankrike,Thriller/Mysterium,126 min,Roman Polanski,Andrew Braunsberg,Philippe Sarde,-,[Recension](https://www.google.com/search?q=The+Tenant+1976+movie+review),Europa\Frankrike,,,
The Vourdalak,2023,Adrien Beau,Frankrike,Skräck,91 min,Ariane Labed,Judith Lou Lévy,-,-,[Recension](https://www.google.com/search?q=The+Vourdalak+2023+movie+review),Europa\Frankrike,,,
Captain Kronos: Vampire Hunter,1974,Brian Clemens,Storbritannien,Action/Skräck,91 min,Horst Janson,Albert Fennell,Laurie Johnson,-,[Recension](https://www.google.com/search?q=Captain+Kronos+Vampire+Hunter+review),Europa\Hammer,,,
Count Dracula,1970,Jesús Franco,Spanien/Italien/Västtyskland,Skräck,92 min,Christopher Lee,Harry Alan Towers,Bruno Nicolai,-,[Recension](https://www.google.com/search?q=Count+Dracula+1970+movie+review),Europa\Hammer,,,
Countess Dracula,1971,Peter Sasdy,Storbritannien,Skräck/Drama,93 min,Ingrid Pitt,Alexander Paal,Harry Robinson,-,[Recension](https://www.google.com/search?q=Countess+Dracula+1971+review),Europa\Hammer,,,
Dracula A.D. 1972,1972,Alan Gibson,Storbritannien,Skräck,96 min,"Christopher Lee, Peter Cushing",Josephine Douglas,Michael Vickers,-,[Recension](https://www.google.com/search?q=Dracula+AD+1972+review),Europa\Hammer,,,
Dracula (Horror of Dracula),1958,Terence Fisher,Storbritannien,Skräck,82 min,"Christopher Lee, Peter Cushing",Anthony Hinds,James Bernard,-,[Recension](https://www.google.com/search?q=Horror+of+Dracula+1958+review),Europa\Hammer,,,
Dracula Has Risen from the Grave,1968,Freddie Francis,Storbritannien,Skräck,92 min,Christopher Lee,Aida Young,James Bernard,-,[Recension](https://www.google.com/search?q=Dracula+Has+Risen+from+the+Grave+review),Europa\Hammer,,,
Dracula: Prince of Darkness,1966,Terence Fisher,Storbritannien,Skräck,90 min,Christopher Lee,Anthony Nelson Keys,James Bernard,-,[Recension](https://www.google.com/search?q=Dracula+Prince+of+Darkness+review),Europa\Hammer,,,
Frankenstein and the Monster from Hell,1974,Terence Fisher,Storbritannien,Skräck,93 min,Peter Cushing,Roy Skeggs,James Bernard,-,[Recension](https://www.google.com/search?q=Frankenstein+and+the+Monster+from+Hell+review),Europa\Hammer,,,
Frankenstein Created Woman,1967,Terence Fisher,Storbritannien,Skräck/Sci-Fi,86 min,Peter Cushing,Anthony Nelson Keys,James Bernard,-,[Recension](https://www.google.com/search?q=Frankenstein+Created+Woman+review),Europa\Hammer,,,
Frankenstein Must Be Destroyed,1969,Terence Fisher,Storbritannien,Skräck,98 min,Peter Cushing,Anthony Nelson Keys,James Bernard,-,[Recension](https://www.google.com/search?q=Frankenstein+Must+Be+Destroyed+review),Europa\Hammer,,,
Lust for a Vampire,1971,Jimmy Sangster,Storbritannien,Skräck,95 min,"Ralph Bates, Barbara Jefford",Harry Fine,Harry Robinson,-,[Recension](https://www.google.com/search?q=Lust+for+a+Vampire+1971+review),Europa\Hammer,,,
Prehistoric Women,1967,Michael Carreras,Storbritannien,Äventyr/Fantasy,92 min,Martine Beswick,Michael Carreras,Carlo Martelli,-,[Recension](https://www.google.com/search?q=Prehistoric+Women+1967+Hammer+review),Europa\Hammer,,,
Scars of Dracula,1970,Roy Ward Baker,Storbritannien,Skräck,95 min,Christopher Lee,Aida Young,James Bernard,-,[Recension](https://www.google.com/search?q=Scars+of+Dracula+1970+review),Europa\Hammer,,,
Taste the Blood of Dracula,1970,Peter Sasdy,Storbritannien,Skräck,95 min,Christopher Lee,Aida Young,James Bernard,-,[Recension](https://www.google.com/search?q=Taste+the+Blood+of+Dracula+review),Europa\Hammer,,,
The Creeping Flesh,1973,Freddie Francis,Storbritannien,Skräck,94 min,"Christopher Lee, Peter Cushing",Norman Priggen,Paul Ferris,-,[Recension](https://www.google.com/search?q=The+Creeping+Flesh+1973+review),Europa\Hammer,,,
The Devil Rides Out,1968,Terence Fisher,Storbritannien,Skräck,96 min,"Christopher Lee, Charles Gray",Anthony Nelson Keys,James Bernard,-,[Recension](https://www.google.com/search?q=The+Devil+Rides+Out+review),Europa\Hammer,,,
The Satanic Rites of Dracula,1973,Alan Gibson,Storbritannien,Skräck,87 min,"Christopher Lee, Peter Cushing",Roy Skeggs,John Cacavas,-,[Recension](https://www.google.com/search?q=Satanic+Rites+of+Dracula+review),Europa\Hammer,,,
The Vampire Lovers,1970,Roy Ward Baker,Storbritannien,Skräck,91 min,Ingrid Pitt,Harry Fine,Harry Robinson,-,[Recension](https://www.google.com/search?q=The+Vampire+Lovers+review),Europa\Hammer,,,
The Curse of Frankenstein,1957,Terence Fisher,Storbritannien,Skräck,82 min,"Peter Cushing, Christopher Lee",Anthony Hinds,James Bernard,-,[Recension](https://www.google.com/search?q=The+Curse+of+Frankenstein+1957+review),Europa\Hammer,,,
The Curse of the Werewolf,1961,Terence Fisher,Storbritannien,Skräck,93 min,Oliver Reed,Anthony Hinds,Benjamin Frankel,-,[Recension](https://www.google.com/search?q=Curse+of+the+Werewolf+1961+review),Europa\Hammer,,,
The Evil of Frankenstein,1964,Freddie Francis,Storbritannien,Skräck,84 min,Peter Cushing,Anthony Hinds,Don Banks,-,[Recension](https://www.google.com/search?q=The+Evil+of+Frankenstein+1964+review),Europa\Hammer,,,
The Gorgon,1964,Terence Fisher,Storbritannien,Skräck,93 min,"Christopher Lee, Peter Cushing",Anthony Nelson Keys,James Bernard,-,[Recension](https://www.google.com/search?q=The+Gorgon+1964+review),Europa\Hammer,,,
The Horror of Frankenstein,1970,Jimmy Sangster,Storbritannien,Skräck/Komedi,95 min,Ralph Bates,Jimmy Sangster,James Bernard,-,[Recension](https://www.google.com/search?q=The+Horror+of+Frankenstein+review),Europa\Hammer,,,
The Legend of the 7 Golden Vampires,1974,Roy Ward Baker,Storbritannien/Hongkong,Action/Skräck,89 min,"Peter Cushing, David Chiang",Don Houghton,James Bernard,-,[Recension](https://www.google.com/search?q=Legend+of+the+7+Golden+Vampires+review),Europa\Hammer,,,
The Life and Deaths of Christopher Lee,2024,Jon Spira,Storbritannien,Dokumentär,102 min,Christopher Lee (arkiv),Jon Spira,-,-,[Recension](https://www.google.com/search?q=Life+and+Deaths+of+Christopher+Lee+review),Europa\Hammer,,,
The Revenge of Frankenstein,1958,Terence Fisher,Storbritannien,Skräck,89 min,Peter Cushing,Anthony Hinds,Leonard Salzedo,-,[Recension](https://www.google.com/search?q=The+Revenge+of+Frankenstein+1958+review),Europa\Hammer,,,
The Vampire Lovers (Special Edition),1970,Roy Ward Baker,Storbritannien,Skräck,91 min,Ingrid Pitt,Harry Fine,Harry Robinson,-,[Recension](https://www.google.com/search?q=The+Vampire+Lovers+review),Europa\Hammer,,,
To the Devil a Daughter,1976,Peter Sasdy,Storbritannien/Västtyskland,Skräck,93 min,"Richard Widmark, Christopher Lee",Roy Skeggs,Paul Glass,-,[Recension](https://www.google.com/search?q=To+the+Devil+a+Daughter+review),Europa\Hammer,,,
Twins of Evil,1971,John Hough,Storbritannien,Skräck,87 min,Madeleine Collinson,Harry Fine,Harry Robinson,-,[Recension](https://www.google.com/search?q=Twins+of+Evil+1971+review),Europa\Hammer,,,
Rasputin: The Mad Monk,1966,Don Sharp,Storbritannien,Drama/Skräck,91 min,Christopher Lee,Anthony Nelson Keys,Don Banks,-,[Recension](https://www.google.com/search?q=Rasputin+The+Mad+Monk+review),Europa\Hammer,,,
A Cat in the Brain (Un gatto nel cervello),1990,Lucio Fulci,Italien,Skräck,93 min,Lucio Fulci,Antonio Lucidi,Fabio Frizzi,-,[Recension](https://www.google.com/search?q=A+Cat+in+the+Brain+review),Europa\Italien Spanien,,,
A Hatchet for the Honeymoon,1970,Mario Bava,Italien/Spanien,Skräck/Thriller,88 min,Stephen Forsyth,Manuel Cano,Sante Maria Romitelli,-,[Recension](https://www.google.com/search?q=Hatchet+for+the+Honeymoon+review),Europa\Italien Spanien,,,
A Lizard in a Woman's Skin,1971,Lucio Fulci,Italien/Spanien/Frankrike,Mysterium/Thriller,103 min,Florinda Bolkan,Edmondo Amati,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Lizard+in+a+Womans+Skin+review),Europa\Italien Spanien,,,
A Bay of Blood (Ecologia del delitto),1971,Mario Bava,Italien,Skräck/Slasher,84 min,Claudine Auger,Giuseppe Zaccariello,Stelvio Cipriani,Carlo Rambaldi,[Recension](https://www.google.com/search?q=A+Bay+of+Blood+review),Europa\Italien Spanien,,,
Aenigma,1987,Lucio Fulci,Italien/Jugoslavien,Skräck,90 min,Jared Martin,Brizio Tallarico,Carlo Maria Cordio,-,[Recension](https://www.google.com/search?q=Aenigma+1987+movie+review),Europa\Italien Spanien,,,
All the Colors of Giallo,2019,Federico Caddeo,Italien,Dokumentär,102 min,-,-,-,-,[Recension](https://www.google.com/search?q=All+the+Colors+of+Giallo+review),Europa\Italien Spanien,,,
Amer,2009,Hélène Cattet & Bruno Forzani,Belgien/Frankrike,Thriller/Mysterium,90 min,Marie Bos,-,-,-,[Recension](https://www.google.com/search?q=Amer+2009+movie+review),Europa\Italien Spanien,,,
Baron Blood,1972,Mario Bava,Italien/Västtyskland,Skräck,91 min,"Joseph Cotten, Elke Sommer",Alfredo Leone,Gaslini,-,[Recension](https://www.google.com/search?q=Baron+Blood+1972+review),Europa\Italien Spanien,,,
Barracuda,1978,Harry Kerwin,USA,Thriller/Skräck,90 min,Wayne Crawford,-,-,-,[Recension](https://www.google.com/search?q=Barracuda+1978+movie+review),Europa\Italien Spanien,,,
Beyond the Darkness (Buio Omega),1979,Joe D'Amato,Italien,Skräck,94 min,Kieran Canter,Joe D'Amato,Goblin,-,[Recension](https://www.google.com/search?q=Beyond+the+Darkness+1979+review),Europa\Italien Spanien,,,
Beyond the Door,1974,Ovidio G. Assonitis,Italien/USA,Skräck,108 min,Juliet Mills,Ovidio G. Assonitis,Franco Micalizzi,-,[Recension](https://www.google.com/search?q=Beyond+the+Door+1974+review),Europa\Italien Spanien,,,
Black Sabbath (I tre volti della paura),1963,Mario Bava,Italien/Frankrike,Skräck/Antologi,92 min,Boris Karloff,Salvatore Argento,Roberto Nicolosi,-,[Recension](https://www.google.com/search?q=Black+Sabbath+1963+review),Europa\Italien Spanien,,,
Black Glasses (Occhiali neri),2022,Dario Argento,Italien/Frankrike,Thriller,86 min,Ilenia Pastorelli,Conchita Airoldi,Arnaud Rebotini,-,[Recension](https://www.google.com/search?q=Black+Glasses+Occhiali+neri+review),Europa\Italien Spanien,,,
Black Sunday (4K Version),1960,Mario Bava,Italien,Skräck,87 min,Barbara Steele,Massimo De Rita,Roberto Nicolosi,-,[Recension](https://www.google.com/search?q=Black+Sunday+1960+review),Europa\Italien Spanien,,,
Black Sunday (Italian Version),1960,Mario Bava,Italien,Skräck,87 min,Barbara Steele,Massimo De Rita,Roberto Nicolosi,-,[Recension](https://www.google.com/search?q=Black+Sunday+1960+review),Europa\Italien Spanien,,,
Blood and Black Lace,1964,Mario Bava,Italien/Frankrike/Västtyskland,Mysterium/Thriller,88 min,Cameron Mitchell,Emmanno Donati,Carlo Rustichelli,-,[Recension](https://www.google.com/search?q=Blood+and+Black+Lace+review),Europa\Italien Spanien,,,
Blood for Dracula,1974,Paul Morrissey,Italien/Frankrike,Skräck,103 min,Udo Kier,Andrew Braunsberg,Claudio Gizzi,-,[Recension](https://www.google.com/search?q=Blood+for+Dracula+1974+review),Europa\Italien Spanien,,,
Burial Ground,1981,Andrea Bianchi,Italien,Skräck,85 min,Karin Well,Gabriele Crisanti,Berto Pisano,-,[Recension](https://www.google.com/search?q=Burial+Ground+1981+review),Europa\Italien Spanien,,,
Castle of Blood (Danza macabra),1964,Sergio Corbucci,Italien/Frankrike,Skräck,87 min,Barbara Steele,Marco Vicario,Riz Ortolani,-,[Recension](https://www.google.com/search?q=Castle+of+Blood+1964+review),Europa\Italien Spanien,,,
City of the Living Dead (Paura nella città dei morti viventi),1980,Lucio Fulci,Italien,Skräck,93 min,"Christopher George, Catriona MacColl",Fabrizio De Angelis,Fabio Frizzi,-,[Recension](https://www.google.com/search?q=City+of+the+Living+Dead+1980+review),Europa\Italien Spanien,,,
Curse of the Devil (El retorno de Walpurgis),1973,Carlos Aured,Spanien,Skräck,84 min,Paul Naschy,-,-,-,[Recension](https://www.google.com/search?q=Curse+of+the+Devil+1973+review),Europa\Italien Spanien,,,
Cut and Run (Inferno in diretta),1985,Ruggero Deodato,Italien,Action/Thriller,90 min,"Lisa Blount, Leonard Mann",-,Claudio Simonetti,-,[Recension](https://www.google.com/search?q=Cut+and+Run+1985+movie+review),Europa\Italien Spanien,,,
Dario Argento Panico,2023,Simone Scafidi,Italien/Storbritannien,Dokumentär,100 min,"Dario Argento, Guillermo del Toro",-,-,-,[Recension](https://www.google.com/search?q=Dario+Argento+Panico+review),Europa\Italien Spanien,,,
Dark Waters,1993,Mariano Baino,Ryssland/Italien,Skräck,94 min,Louise Salter,-,Igor Clark,-,[Recension](https://www.google.com/search?q=Dark+Waters+1993+movie+review),Europa\Italien Spanien,,,
Dawn of the Mummy,1981,Frank Agrama,Italien/Egypten/USA,Skräck,93 min,Brenda Siemer Scheider,-,Shuki Levy,-,[Recension](https://www.google.com/search?q=Dawn+of+the+Mummy+1981+review),Europa\Italien Spanien,,,
Death Smiles on a Murderer (La morte sorride all'assassino),1973,Joe D'Amato,Italien,Skräck,92 min,"Ewa Aulin, Klaus Kinski",-,Berto Pisano,-,[Recension](https://www.google.com/search?q=Death+Smiles+on+a+Murderer+review),Europa\Italien Spanien,,,
Delirium (Le foto di Gioia),1987,Lamberto Bava,Italien,Thriller/Krim,95 min,Serena Grandi,-,Simon Boswell,-,[Recension](https://www.google.com/search?q=Delirium+Le+foto+di+Gioia+review),Europa\Italien Spanien,,,
Cemetery Man (Dellamorte Dellamore),1994,Michele Soavi,Italien/Frankrike,Skräck/Komedi,105 min,Rupert Everett,Gianni Romoli,Manuel De Sica,Sergio Stivaletti,[Recension](https://www.google.com/search?q=Cemetery+Man+Dellamorte+Dellamore+review),Europa\Italien Spanien,,,
Demon Witch Child (La endemoniada),1975,Amando de Ossorio,Spanien,Skräck,88 min,Marian Salgado,-,-,-,[Recension](https://www.google.com/search?q=Demon+Witch+Child+1975+review),Europa\Italien Spanien,,,
Demonia,1990,Lucio Fulci,Italien,Skräck,85 min,Brett Halsey,-,Giovanni Cristiani,-,[Recension](https://www.google.com/search?q=Demonia+1990+movie+review),Europa\Italien Spanien,,,
Demons (Dèmoni),1985,Lamberto Bava,Italien,Skräck,88 min,Urbano Barberini,Dario Argento,Claudio Simonetti,Sergio Stivaletti,[Recension](https://www.google.com/search?q=Demons+1985+movie+review),Europa\Italien Spanien,,,
Demons 2 (Dèmoni 2),1986,Lamberto Bava,Italien,Skräck,91 min,David Knight,Dario Argento,Simon Boswell,Sergio Stivaletti,[Recension](https://www.google.com/search?q=Demons+2+1986+movie+review),Europa\Italien Spanien,,,
Don't Torture a Duckling (Non si sevizia un paperino),1972,Lucio Fulci,Italien,Mysterium/Thriller,102 min,"Florinda Bolkan, Tomas Milian",-,Riz Ortolani,-,[Recension](https://www.google.com/search?q=Dont+Torture+a+Duckling+review),Europa\Italien Spanien,,,
Dr. Terror's House of Horrors,1965,Freddie Francis,Storbritannien,Skräck/Antologi,98 min,"Christopher Lee, Peter Cushing",Milton Subotsky,Elisabeth Lutyens,-,[Recension](https://www.google.com/search?q=Dr+Terrors+House+of+Horrors+review),Europa\Italien Spanien,,,
Dracula 3D,2012,Dario Argento,Italien/Frankrike/Spanien,Skräck,110 min,"Thomas Kretschmann, Rutger Hauer",-,Claudio Simonetti,-,[Recension](https://www.google.com/search?q=Dracula+3D+Dario+Argento+review),Europa\Italien Spanien,,,
Eaten Alive! (Mangiati vivi!),1980,Umberto Lenzi,Italien,Skräck/Äventyr,92 min,Robert Kerman,-,Stelvio Cipriani,-,[Recension](https://www.google.com/search?q=Eaten+Alive+1980+Lenzi+review),Europa\Italien Spanien,,,
Howl of the Devil (El aullido del diablo),1988,Paul Naschy,Spanien,Skräck,88 min,Paul Naschy,-,-,-,[Recension](https://www.google.com/search?q=Howl+of+the+Devil+1988+review),Europa\Italien Spanien,,,
Exorcismo,1975,Juan Bosch,Spanien,Skräck,93 min,Paul Naschy,-,-,-,[Recension](https://www.google.com/search?q=Exorcismo+1975+movie+review),Europa\Italien Spanien,,,
"Flavia the Heretic (Flavia, la monaca musulmana)",1974,Gianfranco Mingozzi,Italien/Frankrike,Skräck/Drama,101 min,Florinda Bolkan,-,Nicola Piovani,-,[Recension](https://www.google.com/search?q=Flavia+the+Heretic+1974+review),Europa\Italien Spanien,,,
Flesh for Frankenstein,1973,Paul Morrissey,Italien/Frankrike,Skräck,95 min,"Udo Kier, Joe Dallesandro",Andrew Braunsberg,Claudio Gizzi,Carlo Rambaldi,[Recension](https://www.google.com/search?q=Flesh+for+Frankenstein+review),Europa\Italien Spanien,,,
Four Flies on Grey Velvet (4 mosche di velluto grigio),1971,Dario Argento,Italien/Frankrike,Mysterium/Thriller,104 min,Michael Brandon,Salvatore Argento,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Four+Flies+on+Grey+Velvet+review),Europa\Italien Spanien,,,
Giallo a Venezia (Giallo in Venice),1979,Mario Landi,Italien,Thriller/Erotik,90 min,Leonora Fani,-,-,-,[Recension](https://www.google.com/search?q=Giallo+a+Venezia+1979+review),Europa\Italien Spanien,,,
Hatchet for the Honeymoon,1970,Mario Bava,Italien/Spanien,Mysterium/Thriller,88 min,Stephen Forsyth,-,Sante Maria Romitelli,-,[Recension](https://www.google.com/search?q=Hatchet+for+the+Honeymoon+review),Europa\Italien Spanien,,,
Hitch-Hike (Autostop rosso sangue),1977,Pasquale Festa Campanile,Italien,Thriller/Krim,100 min,"Franco Nero, David Hess",-,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Hitch+Hike+1977+movie+review),Europa\Italien Spanien,,,
Horror Express,1972,Eugenio Martín,Spanien/Storbritannien,Skräck/Sci-Fi,88 min,"Christopher Lee, Peter Cushing",Bernard Gordon,John Cacavas,-,[Recension](https://www.google.com/search?q=Horror+Express+1972+review),Europa\Italien Spanien,,,
Hotel Fear (Pensione paura),1978,Francesco Barilli,Italien/Spanien,Thriller/Skräck,92 min,Leonora Fani,-,Adolfo Waitzman,-,[Recension](https://www.google.com/search?q=Hotel+Fear+1978+movie+review),Europa\Italien Spanien,,,
Hunchback of the Morgue (El jorobado de la Morgue),1973,Javier Aguirre,Spanien,Skräck,87 min,Paul Naschy,-,Carmelo Bernaola,-,[Recension](https://www.google.com/search?q=Hunchback+of+the+Morgue+review),Europa\Italien Spanien,,,
Inferno,1980,Dario Argento,Italien,Skräck,106 min,Irene Miracle,Claudio Argento,Keith Emerson,Germano Natali,[Recension](https://www.google.com/search?q=Inferno+1980+Argento+review),Europa\Italien Spanien,,,
L'ossessa (The Antichrist),1974,Alberto De Martino,Italien,Skräck,112 min,Carla Gravina,-,Ennio Morricone,-,[Recension](https://www.google.com/search?q=Lossessa+The+Antichrist+review),Europa\Italien Spanien,,,
The Church (La Chiesa),1989,Michele Soavi,Italien,Skräck,102 min,Hugh Quarshie,Dario Argento,Keith Emerson,Sergio Stivaletti,[Recension](https://www.google.com/search?q=The+Church+La+Chiesa+review),Europa\Italien Spanien,,,
L'alcova,1985,Joe D'Amato,Italien,Erotik/Drama,90 min,Lilli Carati,-,-,-,[Recension](https://www.google.com/search?q=Lalcova+1985+movie+review),Europa\Italien Spanien,,,
Delirium (Le foto di Gioia),1987,Lamberto Bava,Italien,Thriller/Krim,95 min,Serena Grandi,-,Simon Boswell,-,[Recension](https://www.google.com/search?q=Delirium+Le+foto+di+Gioia+review),Europa\Italien Spanien,,,
Lisa and the Devil,1973,Mario Bava,Italien/Spanien/Västtyskland,Skräck/Mysterium,95 min,"Telly Savalas, Elke Sommer",Alfredo Leone,Carlo Rustichelli,-,[Recension](https://www.google.com/search?q=Lisa+and+the+Devil+review),Europa\Italien Spanien,,,
Manhattan Baby,1982,Lucio Fulci,Italien,Skräck,89 min,Christopher Connelly,Fabrizio De Angelis,Fabio Frizzi,-,[Recension](https://www.google.com/search?q=Manhattan+Baby+1982+review),Europa\Italien Spanien,,,
Maya,1989,Marcello Avallone,Italien,Skräck,92 min,Peter Phelps,-,-,-,[Recension](https://www.google.com/search?q=Maya+1989+movie+review),Europa\Italien Spanien,,,
Mother of Tears (La terza madre),2007,Dario Argento,Italien/USA,Skräck,102 min,Asia Argento,Claudio Argento,Claudio Simonetti,Sergio Stivaletti,[Recension](https://www.google.com/search?q=Mother+of+Tears+2007+review),Europa\Italien Spanien,,,
Murder Obsession,1981,Riccardo Freda,Italien/Frankrike,Skräck/Mysterium,93 min,Stefano Patrizi,-,Stelvio Cipriani,-,[Recension](https://www.google.com/search?q=Murder+Obsession+1981+review),Europa\Italien Spanien,,,
Murder Rock,1984,Lucio Fulci,Italien,Thriller/Krim,93 min,Olga Karlatos,-,Keith Emerson,-,[Recension](https://www.google.com/search?q=Murder+Rock+1984+review),Europa\Italien Spanien,,,
Night of the Howling Beast,1975,Miguel Iglesias,Spanien,Skräck,89 min,Paul Naschy,-,-,-,[Recension](https://www.google.com/search?q=Night+of+the+Howling+Beast+review),Europa\Italien Spanien,,,
Night of the Seagulls,1975,Amando de Ossorio,Spanien,Skräck,89 min,Victor Alcázar,-,Antón García Abril,-,[Recension](https://www.google.com/search?q=Night+of+the+Seagulls+review),Europa\Italien Spanien,,,
